TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
2022-07-13;25.8;31.6;28.1;82.0;20.85;2.8;3;300;2;NW
2022-07-19;24.3;32.2;27.8;83.0;10.06;0.0;5;80;2;E 
2022-07-21;25.0;33.9;28.7;79.0;7.18;4.5;5;90;2;E 
2022-07-22;25.0;32.0;26.9;86.0;5.74;7.5;3;190;2;NW
2022-07-24;25.4;32.4;28.0;81.0;2.15;4.2;5;210;3;S 
2022-07-27;25.4;32.2;26.5;92.0;10.649999999999999;4.4;3;230;2;W 
2022-08-03;25.2;30.5;27.0;88.0;0.25;3.2;3;70;1;N 
2022-08-07;24.7;32.1;27.8;80.0;8.333333333333332;0.0;4;280;2;W 
2022-08-09;25.2;33.7;27.9;83.0;2.3333333333333335;3.2;3;260;2;S 
2022-08-10;25.3;29.2;26.4;90.0;4.666666666666667;3.2;3;350;1;N 
2022-08-20;25.0;32.8;27.4;85.0;1.3;6.3;4;200;2;C 
2022-08-23;25.0;31.7;27.5;82.0;0.0;5.6;5;230;2;SW
2022-08-24;25.6;32.6;28.2;80.0;0.0;3.4;4;280;3;S 
2022-09-02;25.6;32.8;27.3;87.0;6.05;7.3;5;240;2;S 
2022-09-13;24.4;32.0;27.6;86.0;55.25;5.1;3;80;2;W 
2022-09-17;24.6;33.2;27.9;80.0;0.4;1.4;3;190;2;S 
2022-09-24;24.5;29.2;25.5;92.0;60.2;4.4;5;290;2;SW
2022-09-28;25.1;33.4;28.4;81.0;5.75;6.8;4;90;2;S 
2022-10-16;25.6;34.2;28.7;78.0;2.0;4.3;4;300;2;SW
2022-10-21;25.8;32.6;28.8;81.0;4.75;3.5;4;50;2;NE
2022-10-30;25.5;34.6;29.1;78.0;1.3333333333333335;4.3;4;200;3;SW
2022-10-31;26.2;34.0;29.4;77.0;0.6666666666666667;6.1;4;180;3;S 
2022-11-05;25.4;33.0;27.9;82.0;1.75;3.5;3;200;2;NW
2022-11-08;25.4;33.0;28.5;78.0;2.3;0.5;4;290;2;S 
2022-11-17;25.0;34.6;27.7;85.0;32.5;1.9;3;240;1;NW
2022-11-20;24.6;31.4;26.8;84.0;4.0;0.2;3;250;1;S 
