TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
2022-06-16,"25,2",-,28,84,5,3,3,30,2,E 
2022-06-22,"24,8","31,4","27,6",84,8888,"3,8",3,30,2,NW
2022-06-30,"23,2",31,"27,3",80,8888,"4,1",5,250,3,SW
2022-07-05,"25,3","32,2","28,4",82,8888,"1,4",3,230,2,E 
2022-07-06,-,"33,8","28,1",81,-,0,3,210,2,SW
2022-07-08,-,"33,2",28,84,-,1,4,140,2,S 
2022-07-12,-,"33,4","28,5",81,"1,5","1,3",3,140,2,SW
2022-07-13,"25,8","31,6","28,1",82,8888,"2,8",3,300,2,NW
2022-07-16,-,"31,8",28,84,-,"2,7",4,120,2,S 
2022-07-19,"24,3","32,2","27,8",83,8888,0,5,80,2,E 
2022-07-20,-,33,"27,9",82,-,"2,2",4,140,1,SE
2022-07-21,25,"33,9","28,7",79,8888,"4,5",5,90,2,E 
2022-07-22,25,32,"26,9",86,-,"7,5",3,190,2,NW
2022-07-24,"25,4","32,4",28,81,-,"4,2",5,210,3,S 
2022-07-27,"25,4","32,2","26,5",92,8888,"4,4",3,230,2,W 
2022-08-03,"25,2","30,5",27,88,8888,"3,2",3,70,1,N 
2022-08-04,-,"31,4","26,8",89,"0,5","1,5",4,260,2,W 
2022-08-05,-,32,"27,4",84,25,"4,1",5,250,2,W 
2022-08-06,25,-,"26,5",86,8888,"3,1",4,250,2,W 
2022-08-07,"24,7","32,1","27,8",80,8888,0,4,280,2,W 
2022-08-09,"25,2","33,7","27,9",83,8888,"3,2",3,260,2,S 
2022-08-10,"25,3","29,2","26,4",90,8888,"3,2",3,350,1,N 
2022-08-11,-,34,"28,2",82,7,"0,9",5,160,2,SE
2022-08-20,25,"32,8","27,4",85,-,"6,3",4,200,2,C 
2022-08-23,25,"31,7","27,5",82,8888,"5,6",5,230,2,SW
2022-08-24,"25,6","32,6","28,2",80,-,"3,4",4,280,3,S 
2022-09-02,"25,6","32,8","27,3",87,-,"7,3",5,240,2,S 
2022-09-04,-,"32,2","27,5",86,18,"3,5",3,180,2,S 
2022-09-08,-,"32,8",27,86,-,"0,9",4,340,2,W 
2022-09-12,-,"33,4","27,1",84,8,0,4,140,2,NW
2022-09-13,"24,4",32,"27,6",86,-,"5,1",3,80,2,W 
2022-09-17,"24,6","33,2","27,9",80,-,"1,4",3,190,2,S 
2022-09-20,"24,8",-,"27,5",82,8888,"1,1",4,270,2,W 
2022-09-23,"23,2",-,"28,1",81,"101,3","4,5",3,130,2,NW
2022-09-24,"24,5","29,2","25,5",92,-,"4,4",5,290,2,SW
2022-09-28,"25,1","33,4","28,4",81,-,"6,8",4,90,2,S 
2022-10-12,-,33,27,82,"21,5","3,5",3,240,2,SW
2022-10-14,-,"34,3","28,4",76,"14,5","3,6",3,230,2,W 
2022-10-16,"25,6","34,2","28,7",78,8888,"4,3",4,300,2,SW
2022-10-21,"25,8","32,6","28,8",81,8888,"3,5",4,50,2,NE
2022-10-30,"25,5","34,6","29,1",78,-,"4,3",4,200,3,SW
2022-10-31,"26,2",34,"29,4",77,8888,"6,1",4,180,3,S 
2022-11-05,"25,4",33,"27,9",82,8888,"3,5",3,200,2,NW
2022-11-08,"25,4",33,"28,5",78,-,"0,5",4,290,2,S 
2022-11-16,-,"32,4","27,4",84,"37,6","1,8",4,290,2,W 
2022-11-17,25,"34,6","27,7",85,-,"1,9",3,240,1,NW
2022-11-19,-,30,26,85,6,0,5,210,2,SW
2022-11-20,"24,6","31,4","26,8",84,8888,"0,2",3,250,1,S 
2022-11-23,"23,2","34,8","28,4",78,8888,"4,2",6,160,3,NW
2022-11-29,-,"29,4","26,8",84,7,7,3,290,2,C 
2022-11-30,"24,8","33,4","28,4",76,8888,"0,4",3,300,2,NW
2022-12-01,-,"32,4","27,3",82,8888,"6,9",3,300,2,NW
2022-12-02,"24,3","32,2","27,4",80,-,"3,8",3,340,2,NW
2022-12-04,"23,4","33,9","28,5",80,8888,"1,6",5,300,3,NW
2022-12-10,"25,4",34,"29,1",76,-,"6,3",4,290,2,W 
2022-12-13,25,"27,6",26,90,8888,"4,7",4,280,2,N 
2022-12-17,-,"30,6","26,6",88,"1,9",2,4,270,2,NE
2022-12-21,"25,2","33,8","28,9",82,8888,"3,8",4,140,2,W 
2022-12-25,"24,5","33,2","28,2",77,8888,0,5,290,2,W 
2022-12-27,"25,2",35,"28,9",76,8888,"0,4",3,300,2,NW
2022-12-28,"26,2",35,"29,6",72,-,"4,8",5,150,2,W 
2022-12-31,25,"34,8","29,1",70,-,"6,7",3,260,2,W 
2023-01-01,25,"33,4",29,74,-,"7,6",3,60,2,NE
2023-01-02,"24,4","34,2","27,8",86,-,0,14,240,4,W 
2023-01-04,"23,1","32,4","27,6",76,-,8,4,260,2,SW
2023-01-11,"22,4","32,9","26,7",83,8888,"8,9",4,50,2,NE
2023-01-15,"22,9","32,8","27,6",84,-,"9,7",5,230,2,W 
2023-01-22,"21,6","31,8","25,4",90,-,0,6,160,2,W 
2023-01-24,22,31,"26,1",86,-,"9,7",3,220,2,SW
2023-02-05,"23,8","31,8","27,5",85,-,"2,1",4,270,2,NE
2023-02-08,"23,4","32,4","27,2",82,8888,"8,6",5,60,2,NE
2023-02-10,-,"32,7",27,84,0,"8,5",5,30,3,E 
2023-02-11,"22,7","31,8","26,5",84,-,"8,6",4,30,2,NE
2023-03-02,"23,3","31,6",27,84,8888,0,5,50,2,N 
2023-03-04,"24,1","28,5",26,91,8888,"7,9",4,30,1,C 
2023-03-09,"23,2","30,6","26,4",88,"6,3",-,6,110,1,E 
2023-03-10,-,"32,2","27,5",82,"12,5","8,6",4,360,2,N 
2023-03-12,"24,6","29,3","26,4",92,-,"3,4",6,230,2,SE
2023-03-16,-,33,"27,1",82,8888,"2,6",4,70,1,C 
2023-03-22,24,"31,2","26,3",90,8888,"4,5",5,110,2,E 
2023-03-24,"23,8","32,7","27,5",83,-,"1,2",4,50,2,NE
2023-03-27,"24,3","31,4","26,4",91,-,"0,2",5,300,2,W 
