TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,CUACA,Encoding CUACA
2020-06-07,23.8,33.2,28.0,82.0,0.0,0.1,3,340,2,NW,Cerah,0
2020-06-08,25.6,30.8,27.2,90.0,0.0,5.6,3,70,2,C ,Cerah,0
2020-06-09,25.5,31.4,27.1,89.0,6.8,1.5,4,90,2,E ,Hujan,1
2020-06-10,25.0,33.0,29.0,79.0,6.8,3.7,4,100,2,NE,Hujan,1
2020-06-11,25.4,33.0,28.5,82.0,0.0,6.0,4,130,2,NW,Cerah,0
2020-06-12,26.0,33.0,28.8,81.0,0.0,3.0,3,50,2,SE,Cerah,0
2020-06-13,26.0,33.0,28.8,84.0,0.0,2.2,3,180,1,S ,Cerah,0
2020-06-14,25.2,32.8,28.0,86.0,11.0,2.4,4,250,2,N ,Hujan,1
2020-06-15,23.6,29.4,26.4,86.0,30.6,5.0,3,320,1,NW,Hujan,1
2020-06-16,25.2,33.7,28.6,81.0,21.733333333333334,1.5,4,180,2,N ,Hujan,1
2020-06-17,25.4,33.3,28.1,85.0,12.866666666666667,4.8,4,190,1,C ,Hujan,1
2020-06-18,24.5,33.4,27.75,85.5,4.0,2.9,3,350,2,N ,Hujan,1
2020-06-19,24.8,31.6,27.4,86.0,1.0,5.0,3,230,1,N ,Hujan,1
2020-06-20,24.6,30.6,27.3,87.0,11.0,1.6,2,320,1,C ,Hujan,1
2020-06-21,25.0,33.2,27.6,85.0,1.5,1.5,3,210,2,N ,Hujan,1
2020-06-22,24.85,30.2,27.2,88.0,5.3,4.6,3,160,1,C ,Hujan,1
2020-06-23,24.7,32.4,26.9,86.0,4.0,0.3,2,350,1,C ,Hujan,1
2020-06-24,24.549999999999997,28.6,26.1,91.0,1.0,3.0,3,60,1,NW,Hujan,1
2020-06-25,24.4,30.8,26.8,88.0,2.2,0.0,4,80,2,N ,Hujan,1
2020-06-26,25.0,28.8,26.1,90.0,21.1,2.5,3,40,2,N ,Hujan,1
2020-06-27,24.3,30.2,26.4,87.0,0.5,0.0,3,360,1,N ,Hujan,1
2020-06-28,24.4,28.4,26.0,90.0,0.6,0.7,3,360,2,N ,Hujan,1
2020-06-29,24.0,31.2,27.1,83.0,14.4,1.2,4,200,1,C ,Hujan,1
2020-06-30,23.6,33.8,27.8,82.0,9.600000000000001,2.3,3,30,2,N ,Hujan,1
2020-07-01,24.8,32.0,27.7,81.0,4.800000000000001,6.2,3,220,2,E ,Hujan,1
2020-07-02,26.0,32.6,28.3,82.0,0.0,3.1,3,180,2,E ,Cerah,0
2020-07-03,24.2,30.4,27.0,83.0,0.0,1.8,3,90,2,NE,Cerah,0
2020-07-04,25.2,32.4,28.1,81.0,1.0,0.2,3,150,2,N ,Hujan,1
2020-07-05,24.4,31.0,28.2,79.0,0.0,3.6,3,150,2,E ,Cerah,0
2020-07-06,25.0,30.0,26.6,86.0,0.0,2.7,2,90,1,C ,Cerah,0
2020-07-07,24.8,33.3,27.4,84.0,1.5,0.0,3,20,2,N ,Hujan,1
2020-07-08,24.4,29.7,26.6,90.0,1.4,5.1,3,310,1,N ,Hujan,1
2020-07-09,24.6,30.0,26.1,90.0,3.0,0.3,3,330,1,NW,Hujan,1
2020-07-10,25.0,31.0,26.7,85.0,34.7,0.7,2,220,1,N ,Hujan,1
2020-07-11,25.4,32.4,27.4,87.0,24.400000000000002,1.6,3,290,2,NW,Hujan,1
2020-07-12,24.6,29.0,26.5,89.0,14.1,2.0,2,320,1,C ,Hujan,1
2020-07-13,24.5,33.4,28.3,82.0,5.8,0.0,3,10,1,N ,Hujan,1
2020-07-14,24.0,27.6,25.2,93.0,12.1,7.0,2,240,1,N ,Hujan,1
2020-07-15,23.8,31.6,26.4,88.0,13.7,0.0,3,300,1,NW,Hujan,1
2020-07-16,24.0,29.2,26.2,91.0,25.9,2.6,2,360,1,C ,Hujan,1
2020-07-17,24.4,32.2,27.9,81.0,5.0,0.6,4,240,2,SW,Hujan,1
2020-07-18,24.8,31.6,27.2,86.0,0.4,4.9,3,230,2,N ,Hujan,1
2020-07-19,24.6,33.0,27.9,82.0,1.0,2.9,3,190,2,C ,Hujan,1
2020-07-20,25.4,33.0,28.5,80.0,1.7666666666666666,3.8,3,340,2,N ,Hujan,1
2020-07-21,25.0,31.9,27.7,83.0,2.533333333333333,3.1,2,290,2,E ,Hujan,1
2020-07-22,24.4,32.0,27.3,84.0,3.3,2.9,3,240,2,W ,Hujan,1
2020-07-23,24.3,28.0,26.3,90.0,10.0,5.1,3,270,1,W ,Hujan,1
2020-07-24,24.6,32.1,27.6,82.0,3.0,0.0,3,310,2,NE,Hujan,1
2020-07-25,25.0,31.2,27.7,79.0,3.25,4.8,4,30,2,NE,Hujan,1
2020-07-26,25.0,31.2,27.2,83.0,3.5,3.3,3,50,2,NE,Hujan,1
